publisher,publisher_group,total_spend_ils_all_sources,total_spend_ils_google,total_spend_ils_meta,google_share_of_publisher_spend_pct,meta_share_of_publisher_spend_pct,appears_in_google,appears_in_meta,rows_meta,rows_google,active_week_rows_meta,active_week_rows_google,average_weekly_row_spend_ils_meta,average_weekly_row_spend_ils_google,median_weekly_row_spend_ils_meta,median_weekly_row_spend_ils_google,sd_weekly_row_spend_ils_meta,sd_weekly_row_spend_ils_google,min_weekly_row_spend_ils_meta,min_weekly_row_spend_ils_google,p25_weekly_row_spend_ils_meta,p25_weekly_row_spend_ils_google,p75_weekly_row_spend_ils_meta,p75_weekly_row_spend_ils_google,max_weekly_row_spend_ils_meta,max_weekly_row_spend_ils_google,first_week_meta,first_week_google,last_week_meta,last_week_google
הדגלים השחורים בע״מ (חל״צ),other_org_or_person,88250,88250,0,100,0,TRUE,FALSE,0,2,0,2,,44125,,44125,,1237.437,,43250,,43687.5,,44562.5,,45000,,2024-04-21,,2024-06-23
מפלגת לזוז,political_party,69500,69500,0,100,0,TRUE,FALSE,0,75,0,75,,926.667,,750,,923.395,,250,,500,,1000,,4750,,2021-08-01,,2023-03-19
Mark Shteyn,other_org_or_person,63750,63750,0,100,0,TRUE,FALSE,0,117,0,117,,544.872,,500,,447.232,,250,,250,,750,,3000,,2020-08-02,,2025-07-27
MCCANN DISCIPLINES LTD,other_org_or_person,43750,43750,0,100,0,TRUE,FALSE,0,15,0,15,,2916.667,,1750,,3030.598,,250,,250,,5625,,8750,,2022-09-18,,2025-08-17
Mediaru LTD,other_org_or_person,38500,38500,0,100,0,TRUE,FALSE,0,54,0,54,,712.963,,500,,701.09,,250,,250,,750,,4500,,2024-05-12,,2025-07-06
"מד""ע- מפלגה דמוקרטית ערבית",political_party,36750,36750,0,100,0,TRUE,FALSE,0,2,0,2,,18375,,18375,,5480.078,,14500,,16437.5,,20312.5,,22250,,2021-01-24,,2021-01-31
הרשימה המשותפת,political_party,36500,36500,0,100,0,TRUE,FALSE,0,3,0,3,,12166.667,,12250,,4875.534,,7250,,9750,,14625,,17000,,2021-03-07,,2021-03-21
לירון רוז,other_org_or_person,30500,30500,0,100,0,TRUE,FALSE,0,31,0,31,,983.871,,1000,,370.447,,250,,750,,1250,,2000,,2024-09-08,,2025-12-14
"אחריות לאומית (חל""צ)",other_org_or_person,26750,26750,0,100,0,TRUE,FALSE,0,7,0,7,,3821.429,,2500,,4187.567,,500,,1375,,4125,,12750,,2020-11-01,,2022-09-04
שמואל טיקוצקי,other_org_or_person,24750,24750,0,100,0,TRUE,FALSE,0,29,0,29,,853.448,,500,,1096.906,,250,,250,,750,,5500,,2022-07-24,,2023-04-02
ארגון רבני צהר,other_org_or_person,20250,20250,0,100,0,TRUE,FALSE,0,45,0,45,,450,,250,,264.36,,250,,250,,500,,1000,,2024-09-15,,2025-12-14
המחנה הדמוקרטי,political_party,699,0,699,0,100,FALSE,TRUE,1,0,1,0,699,,699,,,,699,,699,,699,,699,,2020-01-05,,2020-01-05,
