source,party_name,week_start_sunday,week_index_since_2020,total_spend_week,avg_spend_per_day_week,currency,rel_week,y
meta,גדעון סער,2023-10-08,197,99,14.142857142857142,ILS,0,4.605170185988092
meta,דרכנו,2023-09-24,195,398,56.857142857142854,ILS,-2,5.988961416889864
meta,דרכנו,2023-10-01,196,199,28.428571428571427,ILS,-1,5.298317366548036
meta,דרכנו,2023-10-08,197,4027.853174603174,575.407596371882,ILS,0,8.30123704238365
meta,דרכנו,2023-10-15,198,7112.146825396823,1016.020975056689,ILS,1,8.869700016358916
meta,דרכנו,2023-10-22,199,2987.85,426.8357142857143,ILS,2,8.00264397701665
meta,האגודה לזכויות האזרח בישראל,2023-09-24,195,384.6749999999999,54.95357142857142,ILS,-2,5.954995045898003
meta,האגודה לזכויות האזרח בישראל,2023-10-01,196,49.7,7.1000000000000005,ILS,-1,3.9259259105971376
meta,האגודה לזכויות האזרח בישראל,2023-10-15,198,1067.25,152.46428571428572,ILS,1,6.9737770745241345
meta,האגודה לזכויות האזרח בישראל,2023-10-22,199,423.75,60.535714285714285,ILS,2,6.051500760552042
meta,האם ראית את האופק לאחרונה,2023-09-24,195,229.24235807860265,32.748908296943235,ILS,-2,5.439132484915149
meta,האם ראית את האופק לאחרונה,2023-10-01,196,657.2423580786026,93.89176543980037,ILS,-1,6.489573188857609
meta,האם ראית את האופק לאחרונה,2023-10-08,197,2821.6590247452696,403.09414639218136,ILS,0,7.94543463624191
meta,האם ראית את האופק לאחרונה,2023-10-15,198,1301.825691411936,185.97509877313377,ILS,1,7.172290793358035
meta,האם ראית את האופק לאחרונה,2023-10-22,199,3036.8673580786026,433.83819401122895,ILS,2,8.018911021267266
meta,הביטחוניסטים,2023-09-24,195,1612.852259735124,230.4074656764463,ILS,-2,7.386379307920899
meta,הביטחוניסטים,2023-10-01,196,1841.29531529068,263.0421878986686,ILS,-1,7.51876752714113
meta,הביטחוניסטים,2023-10-08,197,2143.2119781599736,306.1731397371391,ILS,0,7.670527387713771
meta,הביטחוניסטים,2023-10-15,198,4478.179074879043,639.7398678398632,ILS,1,8.407195066403625
meta,הביטחוניסטים,2023-10-22,199,2189.3461383711083,312.76373405301547,ILS,2,7.691814864372056
meta,ההסתדרות החדשה,2023-09-24,195,2310.125,330.01785714285717,ILS,-2,7.745489697950517
meta,ההסתדרות החדשה,2023-10-01,196,1348.5,192.6428571428571,ILS,-1,7.207489432458059
meta,ההסתדרות החדשה,2023-10-08,197,12627.375,1803.9107142857144,ILS,0,9.443701545150809
meta,ההסתדרות החדשה,2023-10-15,198,17097.408333333333,2442.4869047619045,ILS,1,9.746740658236519
meta,ההסתדרות החדשה,2023-10-22,199,14572.591666666664,2081.7988095238093,ILS,2,9.586966379906242
meta,המכון הישראלי לדמוקרטיה,2023-09-24,195,2556.366160043437,365.195165720491,ILS,-2,7.846733164117565
meta,המכון הישראלי לדמוקרטיה,2023-10-01,196,2569.9383758026743,367.1340536860963,ILS,-1,7.852026238018176
