source,party_name,week_start_sunday,week_index_since_2020,total_spend_week,avg_spend_per_day_week,currency,rel_week,y
meta,לובי 99,2023-10-08,197,2215.1610422555627,316.45,ILS,0,7.703080385143585
meta,לובי 99,2023-10-15,198,2076.2906718851923,296.61,ILS,1,7.6383382498435
meta,לובי 99,2023-10-22,199,2076.2906718851923,296.61,ILS,2,7.6383382498435
meta,מחדל23,2023-10-08,197,44447.575,6349.65,ILS,0,10.702065683773295
meta,מחדל23,2023-10-15,198,51484.684803921555,7354.95,ILS,1,10.849039659976773
meta,מחדל23,2023-10-22,199,66083.59176051052,9440.51,ILS,2,11.09867576144697
meta,מפלגת יש עתיד,2023-10-08,197,598,85.43,ILS,0,6.393590753950631
meta,מפלגת כחול לבן,2023-10-01,196,1048.5,149.79,ILS,-1,6.955115850341975
meta,מפלגת נעם,2023-09-24,195,414.54179487179493,59.22,ILS,-2,6.027173801510949
meta,מפלגת נעם,2023-10-01,196,83.16666666666667,11.88,ILS,-1,4.420846626523463
meta,מקור ראשון,2023-09-24,195,7815.362464128919,1116.48,ILS,-2,8.963846622346752
meta,מקור ראשון,2023-10-01,196,8306.664211023233,1186.67,ILS,-1,9.02481338861003
meta,מקור ראשון,2023-10-08,197,4538.647266599562,648.38,ILS,0,8.420384287738047
meta,מקור ראשון,2023-10-15,198,4631.908144998202,661.7,ILS,1,8.440724188529046
meta,מקור ראשון,2023-10-22,199,4658.068947343931,665.44,ILS,2,8.446356252254862
meta,מרכז הנדלן,2023-09-24,195,8272.363997522083,1181.77,ILS,-2,9.020675599349
meta,מרכז הנדלן,2023-10-01,196,6876.907899698342,982.42,ILS,-1,8.835924396718646
meta,מרכז הנדלן,2023-10-08,197,224.00892857142856,32,ILS,0,5.4116859107545405
meta,מרכז הנדלן,2023-10-22,199,968.4769230769232,138.35,ILS,2,6.875724655074192
meta,סלע מאיר הוצאה לאור,2023-09-24,195,4163.538967405143,594.79,ILS,-2,8.334120704922372
meta,סלע מאיר הוצאה לאור,2023-10-01,196,2553.825,364.83,ILS,-1,7.845347514276208
meta,סלע מאיר הוצאה לאור,2023-10-08,197,294.87857142857143,42.13,ILS,0,5.686563649324087
meta,סלע מאיר הוצאה לאור,2023-10-15,198,44.95,6.42,ILS,1,3.8055507609176296
meta,סלע מאיר הוצאה לאור,2023-10-22,199,44.95,6.42,ILS,2,3.8055507609176296
meta,עומדים ביחד,2023-09-24,195,2583.854166666667,369.12,ILS,-2,7.857037426261359
meta,עומדים ביחד,2023-10-01,196,1252.4791666666667,178.93,ILS,-1,7.132880199420817
meta,עומדים ביחד,2023-10-08,197,596.25,85.18,ILS,0,6.390660042202551
meta,עומדים ביחד,2023-10-15,198,1296,185.14,ILS,1,7.16703787691222
meta,עומדים ביחד,2023-10-22,199,906.4403743961352,129.49,ILS,2,6.809525252406813
